City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
50,East London,ZA,56.34,moderate rain,-33.0153,27.9116,Tu Casa
51,Te Anau,NZ,68.18,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
52,Akom,CM,66.58,broken clouds,2.6678,12.7109,Complexe Hôtelier Jeannette
53,Ulladulla,AU,76.1,light rain,-35.35,150.4667,Sandpiper Motel
54,Hobart,AU,74.23,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
55,Port Alfred,ZA,61.14,moderate rain,-33.5906,26.891,The Halyards Hotel
57,Veraval,IN,78.55,scattered clouds,20.9,70.3667,Lords Inn Somnath
58,Lagoa,PT,65.64,overcast clouds,39.05,-27.9833,Casa Das Faias
60,Rio Gallegos,AR,44.65,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
63,Mahebourg,MU,78.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
65,Sola,VU,79.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
66,Luanda,AO,78.8,few clouds,-8.8368,13.2343,Hotel Fórum
67,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
69,Atuona,PF,77.65,broken clouds,-9.8,-139.0333,Villa Enata
70,Puerto Ayora,EC,68.99,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
74,Kirra,GR,58.78,broken clouds,38.4333,22.45,Trokadero Hotel
77,Yining,CN,57.81,clear sky,29.0361,114.5636,Xiushui Hotel
78,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
79,Ponta Do Sol,PT,69.01,overcast clouds,32.6667,-17.1,Hotel do Campo
80,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
82,New Norfolk,AU,73.89,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
86,Neyshabur,IR,46.69,clear sky,36.2133,58.7958,Amiran Hotel
87,Perdoes,BR,66.58,broken clouds,-21.0908,-45.0914,Talismã Motel
89,Kaitangata,NZ,62.85,light rain,-46.2817,169.8464,Kaitangata Motor Camp
90,Punta Arenas,CL,44.71,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
91,Bambous Virieux,MU,78.22,few clouds,-20.3428,57.7575,Casa Tia Villa
